C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2020/02/08,04:10:20,0000000318798762,NEXT_DAY_ACTUAL_GEN,0000000318798762
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",BARCSF1,0,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",BUTLERSG,-0.000002,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",CALL_A_4,0,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",CAPTL_WF,52.947998,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",CATHROCK,28.009998,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",CHALLHWF,2.90,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",CLOVER,-0.01,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",CLUNY,5.957885,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",CNUNDAWF,0,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",CULLRGWF,25.83,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",ERGT01,0,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",GB01,-0.050449,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",GERMCRK,37.599998,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",GRIFSF1,0,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",HUGSF1,-0.1710,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",LKBONNY1,-0.270719,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",LRSF1,-0.0330,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",MBAHNTH,34.612495,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",MLSP1,0.305001,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",MLWF1,0.1350,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",MTMILLAR,-0.241843,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",PALOONA,0,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",PIONEER,30,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",PORTWF,-0.30,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",REPULSE,10.185092,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",ROWALLAN,0,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",ROYALLA1,0,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",RPCG,-0.60,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",RUBICON,0,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",SATGN1,0,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",SATGS1,0,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",STARHLWF,22.493441,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",WAUBRAWF,1.0620,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",WOOLNTH1,31.540016,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",WPWF,74,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",YAMBUKWF,2.50,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:05:00",YSWF1,0,"2020/02/07 04:00:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",BARCSF1,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",BUTLERSG,-0.000002,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",CALL_A_4,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",CAPTL_WF,50.727997,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",CATHROCK,32.299999,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",CHALLHWF,2.70,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",CLOVER,-0.01,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",CLUNY,5.938659,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",CNUNDAWF,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",CULLRGWF,23.299999,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",ERGT01,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",GB01,-0.050449,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",GERMCRK,38.799999,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",GRIFSF1,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",HUGSF1,-0.1710,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",LKBONNY1,-0.270719,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",LRSF1,-0.0330,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",MBAHNTH,34.724998,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",MLSP1,0.305001,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",MLWF1,0.12,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",MTMILLAR,-0.241843,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",PALOONA,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",PIONEER,30.200001,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",PORTWF,-0.40,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",REPULSE,10.070344,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",ROWALLAN,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",ROYALLA1,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",RPCG,-0.60,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",RUBICON,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",SATGN1,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",SATGS1,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",STARHLWF,22.793354,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",WAUBRAWF,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",WOOLNTH1,29.300016,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",WPWF,72,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",YAMBUKWF,2.80,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:10:00",YSWF1,0,"2020/02/07 04:05:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",BARCSF1,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",BUTLERSG,-0.000002,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CALL_A_4,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CAPTL_WF,50.144005,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CATHROCK,19.099998,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CHALLHWF,2.90,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CLOVER,-0.01,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CLUNY,5.947814,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CNUNDAWF,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",CULLRGWF,22.32,"2020/02/07 04:10:04"
