,Country,year,life_expectancy
0,Afghanistan,1800,28.2
1,Albania,1800,35.4
2,Algeria,1800,28.8
3,Andorra,1800,
4,Angola,1800,27.0
5,Antigua and Barbuda,1800,33.5
6,Argentina,1800,33.2
7,Armenia,1800,34.0
8,Australia,1800,34.0
9,Austria,1800,34.4
10,Azerbaijan,1800,29.2
11,Bahamas,1800,35.2
12,Bahrain,1800,30.3
13,Bangladesh,1800,25.5
14,Barbados,1800,32.1
15,Belarus,1800,36.2
16,Belgium,1800,40.0
17,Belize,1800,26.5
18,Benin,1800,31.0
19,Bhutan,1800,28.8
20,Bolivia,1800,33.0
21,Bosnia and Herzegovina,1800,35.1
22,Botswana,1800,33.6
23,Brazil,1800,32.0
24,Brunei,1800,29.2
25,Bulgaria,1800,35.8
26,Burkina Faso,1800,29.2
27,Burundi,1800,31.5
28,Cambodia,1800,35.0
29,Cameroon,1800,28.8
30,Canada,1800,39.0
31,Cape Verde,1800,33.8
32,Central African Republic,1800,30.0
33,Chad,1800,30.9
34,Chile,1800,32.0
35,China,1800,32.0
36,Colombia,1800,32.0
37,Comoros,1800,32.1
38,"Congo, Dem. Rep.",1800,31.6
39,"Congo, Rep.",1800,32.7
40,Costa Rica,1800,30.2
41,Cote d'Ivoire,1800,31.2
42,Croatia,1800,36.1
43,Cuba,1800,32.2
44,Cyprus,1800,38.5
45,Czech Republic,1800,35.0
46,Denmark,1800,37.4
47,Djibouti,1800,29.9
48,Dominica,1800,
49,Dominican Republic,1800,29.9
50,Ecuador,1800,32.9
51,Egypt,1800,33.0
52,El Salvador,1800,28.7
53,Equatorial Guinea,1800,29.8
54,Eritrea,1800,30.2
55,Estonia,1800,36.1
56,Ethiopia,1800,29.7
57,Fiji,1800,26.1
58,Finland,1800,36.6
59,France,1800,34.0
60,Gabon,1800,30.6
61,Gambia,1800,28.8
62,Georgia,1800,31.9
63,Germany,1800,38.4
64,Ghana,1800,28.0
65,Greece,1800,36.6
66,Grenada,1800,31.4
67,Guatemala,1800,25.8
68,Guinea,1800,29.5
69,Guinea-Bissau,1800,32.0
70,Guyana,1800,31.1
71,Haiti,1800,29.0
72,Honduras,1800,33.9
73,Hungary,1800,36.0
74,Iceland,1800,42.9
75,India,1800,25.4
76,Indonesia,1800,30.0
77,Iran,1800,25.6
78,Iraq,1800,31.2
79,Ireland,1800,38.3
80,Israel,1800,32.0
81,Italy,1800,29.7
82,Jamaica,1800,34.2
83,Japan,1800,36.4
84,Jordan,1800,31.7
85,Kazakhstan,1800,26.2
86,Kenya,1800,25.5
87,Kiribati,1800,24.9
88,Kuwait,1800,26.0
89,Kyrgyz Republic,1800,23.9
90,Lao,1800,31.9
91,Latvia,1800,33.0
92,Lebanon,1800,29.7
93,Lesotho,1800,32.8
94,Liberia,1800,31.1
95,Libya,1800,33.1
96,Lithuania,1800,28.9
97,Luxembourg,1800,36.9
98,"Macedonia, FYR",1800,36.1
99,Madagascar,1800,30.5
100,Malawi,1800,30.3
101,Malaysia,1800,30.6
102,Maldives,1800,32.6
103,Mali,1800,26.4
104,Malta,1800,28.7
105,Marshall Islands,1800,
106,Mauritania,1800,32.0
107,Mauritius,1800,28.7
108,Mexico,1800,26.9
109,"Micronesia, Fed. Sts.",1800,26.7
110,Moldova,1800,33.1
111,Mongolia,1800,31.8
112,Montenegro,1800,35.4
113,Morocco,1800,33.1
114,Mozambique,1800,30.3
115,Myanmar,1800,30.8
116,Namibia,1800,32.4
117,Nepal,1800,32.8
118,Netherlands,1800,39.9
119,New Zealand,1800,34.0
120,Nicaragua,1800,25.4
121,Niger,1800,30.8
122,Nigeria,1800,30.4
123,North Korea,1800,26.0
124,Norway,1800,37.9
125,Oman,1800,32.3
126,Pakistan,1800,25.8
127,Palestine,1800,32.1
128,Panama,1800,32.9
129,Papua New Guinea,1800,31.5
130,Paraguay,1800,35.5
131,Peru,1800,35.7
132,Philippines,1800,30.9
133,Poland,1800,35.9
134,Portugal,1800,35.6
135,Qatar,1800,30.8
136,Romania,1800,35.7
137,Russia,1800,29.6
138,Rwanda,1800,31.8
139,Samoa,1800,25.4
140,Sao Tome and Principe,1800,31.0
141,Saudi Arabia,1800,32.1
142,Senegal,1800,25.2
143,Serbia,1800,35.5
144,Seychelles,1800,37.0
145,Sierra Leone,1800,25.1
146,Singapore,1800,29.1
147,Slovak Republic,1800,36.4
148,Slovenia,1800,36.6
149,Solomon Islands,1800,25.1
150,Somalia,1800,29.4
151,South Africa,1800,33.5
152,South Korea,1800,25.8
153,South Sudan,1800,26.7
154,Spain,1800,29.5
155,Sri Lanka,1800,32.6
156,St. Lucia,1800,28.0
157,St. Vincent and the Grenadines,1800,26.0
158,Sudan,1800,31.4
159,Suriname,1800,32.9
160,Swaziland,1800,32.3
161,Sweden,1800,32.2
162,Switzerland,1800,38.0
163,Syria,1800,31.1
164,Tajikistan,1800,24.2
165,Tanzania,1800,32.2
166,Thailand,1800,30.4
167,Timor-Leste,1800,28.9
168,Togo,1800,31.3
169,Tonga,1800,28.2
170,Trinidad and Tobago,1800,32.9
171,Tunisia,1800,28.8
172,Turkey,1800,35.0
173,Turkmenistan,1800,24.0
174,Uganda,1800,25.3
175,Ukraine,1800,36.6
176,United Arab Emirates,1800,30.7
177,United Kingdom,1800,38.6
178,United States,1800,39.4
179,Uruguay,1800,32.9
180,Uzbekistan,1800,26.9
181,Vanuatu,1800,24.3
182,Venezuela,1800,32.2
183,Vietnam,1800,32.0
184,Yemen,1800,23.4
185,Zambia,1800,32.6
186,Zimbabwe,1800,33.7
187,Afghanistan,1801,28.2
188,Albania,1801,35.4
189,Algeria,1801,28.8
190,Andorra,1801,
191,Angola,1801,27.0
192,Antigua and Barbuda,1801,33.5
193,Argentina,1801,33.2
194,Armenia,1801,34.0
195,Australia,1801,34.0
196,Austria,1801,34.4
197,Azerbaijan,1801,29.2
198,Bahamas,1801,35.2
199,Bahrain,1801,30.3
200,Bangladesh,1801,25.5
